trade_no,offset,date,open,high,low,close,volume,pct_chg
1,-5,2024-06-18,100900,101900,99800,101800,843389,+1.39
1,-4,2024-06-19,103500,108700,103300,108000,3453496,+6.09
1,-3,2024-06-20,107200,109000,106700,108400,1257874,+0.37
1,-2,2024-06-21,107300,108800,106700,108300,964295,-0.09
1,-1,2024-06-24,108600,111700,108400,110200,1751043,+1.75
1,+0,2024-06-25,111300,112000,109000,111100,914520,+0.82
1,+1,2024-06-26,109800,111600,108000,111400,1016808,+0.27
1,+2,2024-06-27,110700,111200,108500,109200,817680,-1.97
1,+3,2024-06-28,110100,111000,108300,110900,625642,+1.56
1,+4,2024-07-01,111000,114900,108900,109600,1149549,-1.17
1,+5,2024-07-02,109100,109500,106100,107200,840689,-2.19
2,-5,2026-02-20,120300,126100,120300,123600,1906702,+2.06
2,-4,2026-02-23,125400,139500,124500,132600,5519357,+7.28
2,-3,2026-02-24,134700,135800,128600,134500,1918668,+1.43
2,-2,2026-02-25,134400,134400,131200,133300,1265443,-0.89
2,-1,2026-02-26,142000,149100,140500,146700,4568151,+10.05
2,+0,2026-02-27,144700,151900,143600,145700,2611013,-0.68
2,+1,2026-03-03,140100,141300,127000,127600,2709473,-12.42
2,+2,2026-03-04,118000,123100,106700,109000,2558128,-14.58
2,+3,2026-03-05,118700,120700,113900,115400,1954025,+5.87
2,+4,2026-03-06,112500,119400,112500,118000,1179043,+2.25
2,+5,2026-03-09,110800,113700,108000,113400,1042771,-3.90