코드,종목명,섹터,시가총액,평균거래량,파란점선점수,수박신호점수,복합점수,선정이유,리스크등급
005930,삼성전자,전자반도체,3650000,6240000,68,71,70,반도체 수요 증가 + AI 신호 강세,Mid
000660,SK하이닉스,전자반도체,1820000,4150000,65,68,67,반도체 선두 + 기술신호 우수,Mid
051910,LG화학,화학,980000,2840000,58,62,60,화학 섹터 강세 + 신호 정렬,Low
035720,카카오,통신미디어,680000,1850000,52,55,54,AI 투자 증가 + 장기 성장성,Mid-High
247540,에코프로,화학,420000,2150000,71,74,73,배터리 소재 강세 + 기술신호 최강,High
373220,LG에너지솔루션,화학,580000,1950000,62,65,64,전기차 배터리 수요 + 신호 양호,Mid
000270,기아,자동차,320000,2780000,59,61,60,전기차 시장 회복 + 신호 진입,Mid
005380,현대차,자동차,420000,1640000,57,59,58,자동차 섹터 강세 + 신호 보합,Mid
012330,현대모비스,자동차,180000,890000,54,56,55,부품주 강세 + 신호 약함,Low-Mid
066570,LG전자,전자반도체,850000,1520000,48,51,50,LCD 회복 신호 + 약세 중,Low
003550,LG,화학,680000,950000,45,48,47,화학 다각화 + 신호 약함,Low
004020,현대제철,철강,280000,1480000,52,54,53,철강 섹터 약세 중 + 신호 보합,Low-Mid
010950,오씨엘,화학,120000,1620000,69,72,71,디스플레이 소재 강세 + 신호 우수,High
011070,NHN,통신미디어,85000,2240000,55,57,56,게임 수익 회복 + 신호 대기,Mid
010820,현대종합금속,철강,95000,1850000,48,50,49,철강 약세 + 신호 약함,Low-Mid
271560,오리온,일반소비,420000,950000,46,49,48,간식 수요 안정적 + 신호 약함,Low
034020,쌍용C&E,건설,75000,1240000,44,46,45,건설 횡보 + 신호 없음,Low
028260,삼성물산,건설,590000,680000,41,43,42,건설 약세 + 신호 약함,Low
078000,지에스네트웍스,통신미디어,120000,2150000,61,63,62,네트워크 인프라 + 신호 강화,Mid
010960,F&F,일반소비,320000,1520000,49,51,50,의류 시장 회복 + 신호 약함,Low-Mid
068270,셀트리온,생물,690000,1680000,47,49,48,바이오 약세 중 + 신호 대기,Low-Mid
019680,태영건설,건설,85000,1450000,43,45,44,건설 부진 + 신호 약함,Low
015760,한국전력,에너지,410000,2580000,36,38,37,전기료 안정 + 신호 약함,Low
032830,삼성생명,금융,1200000,890000,31,33,32,금융 약세 + 신호 약함,Low
039490,키움증권,금융,120000,1950000,34,36,35,금융 약세 지속 + 신호 부재,Low
018260,삼성SDS,IT,420000,1320000,53,55,54,클라우드 수요 증가 + 신호 진입,Mid
000210,대라피드,운수,210000,1780000,51,53,52,택배 수요 호조 + 신호 약함,Low-Mid
009150,삼성전기,전자반도체,380000,2020000,66,69,68,반도체 부품 신호 강세,Mid-High
180640,한진칼,운수,95000,2340000,48,50,49,물류 증가 + 신호 약함,Low-Mid
009830,한화Q셀,에너지,350000,1890000,64,67,66,태양광 확대 + 신호 우수,Mid
161390,한국타이어,자동차,420000,1950000,57,59,58,타이어 수요 회복 + 신호 보합,Mid
005490,POSCO,철강,520000,1240000,44,46,45,철강 약세 + 신호 약함,Low
000950,와이씨텍,반도체,150000,1680000,72,75,74,반도체 장비 신호 최강,High
011200,HMM,운수,90000,2680000,46,48,47,해운 시장 약세 + 신호 약함,Low
294870,HDC현대산업개발,건설,190000,1520000,42,44,43,건설 부진 + 신호 부재,Low
297570,데이투데이,IT,80000,1950000,58,60,59,소프트웨어 수요 증가 + 신호 진입,Mid-High
001570,금양,비금속,240000,1480000,55,57,56,건설 재료 약세 + 신호 보합,Low-Mid
062260,니라텍,반도체,110000,2120000,68,71,70,반도체 소재 신호 강세,High
068240,셀트리온헬스,생물,380000,2450000,45,47,46,바이오 약세 + 신호 약함,Low
006800,미래에셋증권,금융,140000,1820000,32,34,33,금융 약세 지속 + 신호 약함,Low
138040,메리츠화재,금융,210000,1640000,29,31,30,금융 최약세 + 신호 부재,Low
005830,DB손해보험,금융,180000,950000,28,30,29,금융 최약세 + 신호 부재,Low
016360,삼성증권,금융,160000,1280000,30,32,31,금융 약세 + 신호 부재,Low
020000,한섬,일반소비,150000,1850000,47,49,48,패션 시장 약세 + 신호 약함,Low
003670,포스코인터내셔널,기타,780000,1620000,50,52,51,자원 수급 보합 + 신호 약함,Low
003240,태신메디컬,의료,95000,1950000,60,62,61,의료기기 수요 + 신호 진입,Mid
065350,신성통상,무역,120000,2340000,49,51,50,무역 침체 + 신호 약함,Low-Mid
009420,한올바이오파마,생물,180000,1780000,48,50,49,바이오 약세 + 신호 약함,Low-Mid
000100,유한양행,의료,620000,1520000,52,54,53,제약 시장 안정 + 신호 보합,Low
001360,대한제강,철강,85000,2150000,43,45,44,철강 약세 + 신호 약함,Low